C 97       |NGC 3766                 |NGC 3766                 |NGC 3766                 |                         |                              |Association of Stars                             |174.0554 -61.6153          |     -7.08 1.00   | 5.3  
C 98       |NGC 4609                 |NGC 4609                 |NAME COALSACK CLUSTER    |NGC 4609                 |                              |Cluster of Stars                                 |190.575 -62.995            |    -8.83 -0.74   | 6.9  
C 99       |Coalsack                 |NAME COALSACK            |NAME COALSACK            |                         |                              |Dark Cloud (nebula)                              |187.829 -63.743            |            ~ ~   |     ~
C 100      |IC 2944                  |NAME LAM CEN NEBULA      |IC 2944                  |                         |                              |HII (ionized) region                             |174.5850 -63.3728          |    -6.05 -0.38   | 4.5  
C 101      |NGC 6744                 |NGC 6744                 |NGC 6744                 |                         |                              |Galaxy in Group of Galaxies                      |287.442079 -63.857539      |            ~ ~   | 8.25 
C 102      |IC 2602                  |NAME TET CAR CLUSTER     |IC 2602                  |                         |                              |Open (galactic) Cluster                          |160.742 -64.400            |    -22.33 9.93   |     ~
C 103      |NGC 2070                 |NGC 2070                 |NAME 30 DOR CLUSTER      |NGC 2070                 |                              |Cluster of Stars                                 |084.675 -69.100            |            ~ ~   | 7.25 
C 104      |NGC 362                  |NGC 362                  |NGC 362                  |                         |                              |Globular Cluster                                 |015.80942 -70.84878        |            ~ ~   | 7.21 
C 105      |NGC 4833                 |NGC 4833                 |NGC 4833                 |                         |                              |Globular Cluster                                 |194.89133 -70.87650        |            ~ ~   | 7.79 
C 106      |NGC 104                  |NGC 104                  |HR 95                    |NAME 47 TUC CLUSTER      |NGC 104                       |Globular Cluster                                 |006.022329 -72.081444      |            ~ ~   | 4.91 
C 107      |NGC 6101                 |NGC 6101                 |NGC 6101                 |                         |                              |Globular Cluster                                 |246.45050 -72.20219        |            ~ ~   |10.21 
C 108      |NGC 4372                 |NGC 4372                 |NGC 4372                 |                         |                              |Globular Cluster                                 |186.43929 -72.65908        |            ~ ~   | 9.85 
C 109      |NGC 3195                 |NGC 3195                 |NGC 3195                 |                         |                              |Planetary Nebula                                 |152.337125 -80.858536      |            ~ ~   |     ~
