,MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
358,ESO 409-6,,,,,,,,,0.568863,-30.498647,-2.3,-5.4,,,,Sy2,,15.22,,16.34,13.05
359,LEDA  132727,,,,,,,,,0.54774265028,-28.91502416704,1.3,-0.8,,,,EmG,,,19.995884,16.41,12.71
360,HD 224975,,HD 224975,,,,,,,0.56218540055,-26.67855012125,68.865,-8.446,5.5908,178.865,pc,PM*,G0V,,9.270076,9.91,9.34
361,2dFGRS TGS198Z046,,,,,,,,,0.50408764581,-27.67762314569,2.2,-10.7,,,,G,,15.137,20.537437,16.412,12.9
362,HD 224963,,HD 224963,,,,,,,0.51795113785,-22.67412123909,36.364,-15.831,2.1335,468.713,pc,*,K0III,,9.534201,10.92,9.8
363,HD 224962,,HD 224962,HIP 165,,,,,,0.51971658134,-22.3274852889,-8.636,-6.704,1.683,594.177,pc,*,ApSr(Cr),,10.091622,10.54,10.12
364,HD 224961,,HD 224961,HIP 170,,,,,,0.53760182162,-20.87166236176,-30.464,-10.033,3.9722,322.0923,pc,*,F5V,,9.512423,10.09,9.61
365,V* W Cet,,HD 224960,,HR 9090,,,,,0.53079157666,-14.6758423953,6.498,-7.133,0.921,1085.776,pc,S*,S5.5-7/1.5-3e,9.14,8.950414,16.09,14.46
366,HD 224973,,HD 224973,HIP 177,,,,,,0.56021980528,-11.96434837596,8.96,-3.365,4.9063,203.82,pc,SB*,A1mA5/7-A8,,8.906956,9.09,8.93
367,HD 224974,,HD 224974,HIP 179,,,,,,0.56951743254,-13.40743587506,262.142,32.741,16.098,62.12,pc,SB*,G0V,,6.78791,7.43,6.89
368,HD 224988,,HD 224988,HIP 180,,,,,,0.57091424425,-9.17492855123,4.652,-13.912,2.5705,389.029,pc,*,K2III/IV,,8.134801,9.67,8.46
369,HD 224987,,HD 224987,,,,,,,0.57238531681,-6.97031460601,1.615,10.563,1.4372,695.797,pc,*,G6/8IV,,9.207656,10.67,9.6
370,HD 224959,,HD 224959,HIP 168,,,,,,0.53342282844,-2.82006466254,-36.611,-91.826,1.6559,603.901,pc,SB*,CEMP-rs,,9.305923,10.6,9.6
371,HD 224946,,HD 224946,,,,,,,0.50895462619,-3.27449513543,44.567,-32.221,6.0558,165.131,pc,PM*,G5V,,9.446032,10.24,9.59
372,HD 224947,,HD 224947,HIP 157,,,,,,0.50042326128,-5.21392470356,38.786,29.721,5.828,171.585,pc,*,G8IV,,8.279795,9.41,8.51
373,V* BU Psc,,HD 224945,HIP 159,,,,,,0.51090459133,-2.76617089017,38.238,-3.32,15.6486,63.903,pc,gD*,A9V/IV,,6.871397,7.2,6.92
374,HD 224972,,HD 224972,,,,,,,0.55663345009,-0.48524787731,-1.242,-3.85,3.6012,277.685,pc,*,F0V,,9.564974,10.12,9.66
