MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
HD 224895,,HD 224895,HIP 121,,,,,,0.39642358022,28.42369167819,-19.225,-34.127,4.2578,234.863,pc,*,K2III,,6.483169,8.04,6.84
HD 224857,,HD 224857,,,,,,,0.31788009003,33.15579047037,-40.074,-39.98,4.4982,222.311,pc,PM*,K0,,7.780283,9.12,8.06
HD 224874,,HD 224874,,,,,,,0.34294142853,34.04142082124,-0.57,-10.923,3.4143,292.886,pc,*,A0,,8.632569,8.7,8.62
HD 224856,,HD 224856,,,,,,,0.31517320011,37.89972243094,4.583,-4.899,2.1055,474.947,pc,*,G5,,8.461342,9.71,8.72
HD 224894,,HD 224894,HIP 119,,,,,,0.39016928513,44.67540302426,-9.54,-17.678,6.1672,162.148,pc,*,K0,,6.542779,7.88,6.82
HD 224867,,HD 224867,,,,,,,0.36183020884,-83.52287747571,16.443,-4.017,3.8114,262.371,pc,*,F3/5III/IV,,8.894742,9.55,9.02
* tet Oct,,HD 224889,HIP 122,HR 9084,,,,,0.3987477119846,-77.0657253520472,-56.841,-176.791,15.4549,64.7044,pc,PM*,K3III,,4.366584,6.049,4.783
HD 224879,,HD 224879,HIP 117,,,,,,0.38054835639,-72.6059009999,17.222,1.21,1.8126,551.694,pc,*,G8III,,8.237561,9.68,8.56
HD 224866,,HD 224866,HIP 108,,,,,,0.33665066858,-70.12527071581,13.857,14.836,1.4315,650.973,pc,*,K3II/III,,8.110887,10.048,9.195
HD 224853,,HD 224853,HIP 103,,,,,,0.32209540272,-68.37111936295,-11.742,-40.951,9.3876,106.195,pc,*,F6V,,8.183792,8.8,9.181
HD 224878,,HD 224878,HIP 115,,,,,,0.37258568363,-62.92313055297,-2.337,10.994,3.9546,252.87,pc,*,A2IV,,7.450423,7.6,7.45
HD 224852,,HD 224852,,,,,,,0.31760801367,-60.61587174335,26.137,-0.249,1.7112,572.037,pc,Pu*,A8V,9.75,9.944398,10.584,10.233
HD 224851,,HD 224851,HIP 98,,,,,,0.30717077412,-52.79857473778,-1.859,1.841,7.4368,134.226,pc,*,F6/7V,,9.750472,10.353,9.88
HD 224887,,HD 224887,,,,,,,0.38574159502,-48.98245695255,8.417,7.426,1.4016,713.47,pc,*,G5/8(III),,9.775621,11.11,10.04
HD 224888,,HD 224888,,,,,,,0.38885670892,-49.66218984088,38.335,-23.416,2.6541,368.294,pc,*,G6(III),9.73,9.844218,11.002,10.142
HD 224865,,HD 224865,HIP 107,HR 9082,,,,,0.3338295273,-50.33737026277,7.722,11.887,5.3743,186.071,pc,V*,M2III,,4.765762,7.12,5.524
HD 224864,,HD 224864,HIP 101,,,,,,0.31971186882,-47.79382845083,-13.898,0.706,3.985,251.044,pc,*,F5IV/V,,9.774849,10.286,9.89
HD 224902,,HD 224902,HIP 120,,,,,,0.39591817174,-45.34475939853,-20.628,-28.974,1.9813,504.719,pc,*,K1IIICNIV,,7.91326,9.5,8.31
2MASX J00012723-3027508,,,,,,,,,0.3634044531,-30.46409280065,-7.8,-6.2,,,,G,,16.2,20.495945,17.65,15.16
2MASX J00013409-3055478,,,,,,,,,0.39204276578,-30.92983881727,-0.6,-6.3,,,,G,,15.793,20.488035,16.511,13.6
CTLGM 741,,,,,,,,,0.3344434234,-31.11906285623,0.3,-7.5,,,,G,,16.065,20.11796,17.532,15.56
2dFGRS TGS358Z147,,,,,,,,,0.3610392,-30.319775,-1.0,-6.4,,,,G,,17.128,,17.66,15.87
CTLGD 7846,,,,,,,,,0.304371,-29.675453,13.3,-2.8,,,,EmG,,16.31,,17.43,15.03
CTLGD 8349,,,,,,,,,0.35643066101,-29.56766726207,4.5,1.1,,,,EmG,,15.58,19.483553,17.09,13.93
HD 224877,,HD 224877,,,,,,,0.35102985846,0.25156479216,24.089,-0.103,2.791,350.095,pc,*,G0,,10.517355,11.17,10.666
HD 224882B,,HD 224882B,,,,,,,0.3715622867475,30.7354801392975,-5.402,-43.174,8.4769,117.968,pc,*,,,9.571121,10.44,9.73
HD 224873B,,HD 224873B,,,,,,,0.34866783768,39.6103678776,-23.252,-45.815,20.0276,49.931,pc,PM*,K1V,,9.431236,10.51,9.68
HD 224873A,,HD 224873A,,,,,,,0.34860587902,39.61072094288,-31.671,-44.075,19.336,51.717,pc,PM*,K0V,,8.895423,9.77,9.0
BD-17  6862,,,HIP 112,,,,,,0.3576633351171,-16.9484423192997,293.902,-253.436,31.76,31.4861,pc,PM*,K7.0V,10.37,10.098359,12.29,10.62
HD 224882A,,HD 224882A,,,,,,,0.3716519293842,30.7357788199847,-15.046,-41.064,8.749,114.299,pc,*,,,8.004928,8.77,8.13
BD+45  4396,,,HIP 155,,,,,,0.49118612898,46.26914989842,15.393,0.012,3.0659,326.168,pc,*,A2,,9.886821,10.14,9.89
HD 224920,,HD 224920,,,,,,,0.44098977626,52.77230369778,-7.253,-3.953,1.9865,503.398,pc,Pu*,A,,9.290646,9.35,9.31
HD 236278,,HD 236278,,,,,,,0.42776418971,52.213993131,-10.557,-54.14,18.6491,53.622,pc,PM*,K1V,,9.1041,10.09,9.28
HD 224893,,HD 224893,HIP 124,HR 9085,,,,,0.40423349109,61.22279985728,-1.765,0.027,1.3825,723.327,pc,*,A8II,,5.453592,5.966,5.567
HD 224905,,HD 224905,,,,,,,0.41097792958,60.4499240471,-3.198,-1.531,0.7747,1290.822,pc,Be*,B2,,8.410068,8.58,8.4
HD 224892,,HD 224892,HIP 131,,,,,,0.4198208114,62.01808667832,-9.994,-28.747,6.9667,143.54,pc,*,A4V,,8.100256,8.31,8.1
HD 224939,,HD 224939,HIP 156,,,,,,0.49693660411,63.35782665997,9.498,-7.995,2.4257,412.252,pc,*,B8V,,8.562247,8.68,8.6
HD 224918,,HD 224918,HIP 142,,,,,,0.45378587757,66.30603253366,6.055,12.606,16.5611,60.382,pc,*,K0,,7.171536,8.05,7.32
HD 224938,,HD 224938,,,,,,,0.49414242529,66.4378992353,-3.607,-6.384,3.5948,278.18,pc,*,B9,,7.273829,7.289,7.263
HD 224919,,HD 224919,,,,,,,0.45717119088,65.45556993976,17.791,52.818,15.3692,65.065,pc,PM*,F5,,7.535949,8.12,7.64
V* V747 Cep,,,HIP 139,,,NGC 7822 3,,,0.44528283066,67.50697287005,-1.566,-1.795,0.983,1017.294,pc,SB*,O5.5V(n)((f)),,9.331973,11.38,10.07
HD 224890,,HD 224890,HIP 128,,,,,,0.41441007652,73.61184646685,76.77,-12.116,14.3366,69.752,pc,SB*,kA1hA7mF0,,6.480009,6.681,6.492
HD 224917,,HD 224917,HIP 144,,,,,,0.45528386166,76.17559770839,19.026,-5.448,2.6755,373.762,pc,*,K5,,8.184789,10.05,8.66
